manifest_order	year	edition	configured_source	range_start	range_end	configured_range_kind	schema_regime	unit_multiplier	rotation_degrees	source_note	todo	manifest_row_status	selected_source_available	selected_source_type	selected_source_path	alternate_source_count	alternate_source_paths	output_token_file_count	output_page_count	invalid_row_note
1	1879	1				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
2	1879	2	archive-raw	79	271	raw_scan_index	1879	1	90	jp2	columns: town, bank, president, cashier, capital, surplus, ny correspondent, xyz correspondent; notice street name in nyc; notice how nyc doesn’t have nyc corr	configured	yes	raw_image_directory	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1879-2-archive-raw	1	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1879-2-archive.pdf	1	193	
3	1880	1				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
4	1880	2	google	74	272	physical_pdf_page	1879	1	90			configured	yes	pdf	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1880-2-google.pdf	0		1	199	
5	1881	1	hathi	84	282	physical_pdf_page	1879	1	90			configured	yes	pdf	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1881-1-hathi.pdf	0		1	199	
6	1881	2				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
7	1882	1				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
8	1882	2				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
9	1883	1				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
10	1883	2	archive-raw	96	441	raw_scan_index	1879	1	90	jp2	columns: town, bank, president, cashier, capital, surplus, ny correspondent, xyz correspondent	configured	yes	raw_image_directory	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1883-2-archive-raw	2	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1883-2-archive.pdf;/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1883-2-hathi.pdf	1	346	
11	1884	1				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
12	1884	2				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
13	1885	1				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
14	1885	2				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
15	1886	1				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
16	1886	2				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
17	1887	1	hathi	86	487	physical_pdf_page	1888	1	90			configured	yes	pdf	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1887-1-hathi.pdf	0		1	402	
18	1887	2				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
19	1888	1				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
20	1888	2	hathi	116	527	physical_pdf_page	1888	1	90			configured	yes	pdf	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1888-2-hathi.pdf	0		1	412	
21	1889	1				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
22	1889	2				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
23	1890	1				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
24	1890	2	hathi	130	632	physical_pdf_page	1888	1	90		crappy quality	configured	yes	pdf	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1890-2-hathi.pdf	0		1	503	
